InputZoom	TRUE
InputCenter	1000000000.000000000
InputRange	2.000000000
InputRefImped	50.000000000
XStart	0.000000000
XDelta	0.000000160
XDomain	0
XUnit	Sec
YUnit	V
FreqValidMax	1020000000.000000000
FreqValidMin	980000000.000000000
TimeString	Wed Apr 9 10:31:26.524 2014
Y
-0.005625	-0.001406
0.007735	0.005274
-0.001406	-0.003516
0.003164	0
0.003516	-0.001758
0.000352	-0.000703
0.003164	-0.01125
0.003516	-0.002813
-0.000352	-0.015118
0.001758	-0.001055
-0.000703	-0.002461
-0.005274	-0.010196
0.003164	-0.001406
-0.001758	0.002461
0.001758	0.002461
-0.003867	0.001406
0.002109	-0.005977
-0.013712	0.000352
0.000352	-0.000703
0.014063	-0.003164
0.00668	-0.003164
0.002813	-0.001406
0.010547	0.003867
-0.005625	0.00668
0.000352	0.004571
0.003516	0
-0.001758	0.003867
0.003516	-0.000703
0.004571	0.001758
-0.000703	-0.001758
0.003867	-0.003164
-0.003516	-0.009493
0.008438	-0.001055
0.006328	-0.006328
-0.003867	-0.000703
-0.004571	0.001055
0.011602	-0.001055
0.003867	-0.002109
-0.003867	-0.004571
0.003867	0.004922
0.000703	0.003164
0.001758	-0.00668
0.003516	0.005274
-0.009844	-0.004571
-0.003516	-0.001758
0.005274	-0.002461
-0.007032	-0.004219
0.002109	0.006328
-0.002109	-0.000703
-0.000703	0.002109
0.008438	-0.001406
0.003867	0.001758
-0.003516	0.005977
-0.003867	-0.00668
-0.011954	-0.008086
-0.004571	0.007383
0	0.000352
-0.002813	0.002109
0.004571	0.007032
0.001055	0.002461
-0.007032	-0.007735
-0.004219	-0.008086
-0.005274	-0.003164
-0.008789	-0.004922
-0.008789	-0.002109
0.002109	0.001758
0.002813	0.007032
-0.000352	-0.002461
-0.003164	-0.000703
0.003867	0.002109
-0.004219	0.001055
-0.004922	0.009493
-0.005977	-0.001406
-0.003164	-0.001758
-0.008789	-0.002461
-0.010899	0.002813
-0.018985	0.017579
-0.012657	0.005625
-0.001406	0.003867
-0.009141	0.011602
-0.002461	0
-0.011954	0.001758
-0.016173	0.005977
-0.015821	-0.000703
-0.012657	0.010547
-0.016173	0.003516
-0.015821	0.008438
-0.022501	0.003164
-0.025665	0.005274
-0.022149	0.014766
-0.024962	-0.005625
-0.018985	0.010899
-0.020392	0.005977
-0.016524	0.007735
-0.024259	0.013712
-0.022501	0.010196
-0.020743	0.008086
-0.031994	0.006328
-0.021095	0.009493
-0.023556	0.018282
-0.02004	0.015118
-0.027071	0.009493
-0.029181	0.009493
-0.027423	0
-0.025314	0.003164
-0.029884	0.004922
-0.034103	0.008789
-0.030236	0.010899
-0.033751	0.011602
-0.036564	0.009493
-0.030236	0.018985
-0.040783	0.015118
-0.039025	0.014766
-0.037267	0.014063
-0.035158	0.020743
-0.043596	0.018985
-0.038674	0.005625
-0.041135	0.009844
-0.036564	0.009493
-0.037619	0.016876
-0.047815	0.01336
-0.039025	0.016876
-0.043244	0.027423
-0.048166	0.023204
-0.050979	0.009493
-0.043947	0.018985
-0.047111	0.01793
-0.050627	0.023204
-0.044299	0.022501
-0.050979	0.022501
-0.053791	0.018985
-0.043947	0.019688
-0.049221	0.024259
-0.052385	0.017227
-0.054846	0.016524
-0.050627	0.017227
-0.049572	0.016524
-0.052034	0.019688
-0.05133	0.02004
-0.056956	0.022853
-0.054846	0.023204
-0.065042	0.017579
-0.062581	0.023556
-0.056604	0.032345
-0.079808	0.028478
-0.069261	0.028126
-0.065042	0.02461
-0.061175	0.022853
-0.063987	0.025665
-0.0668	0.022501
-0.059417	0.023556
-0.07805	0.02672
-0.061175	0.027071
-0.063284	0.025314
-0.070316	0.023907
-0.07137	0.030236
-0.065042	0.017227
-0.074886	0.022501
-0.076644	0.034103
-0.072425	0.034103
-0.076292	0.030587
-0.069964	0.02672
-0.076644	0.027423
-0.073831	0.03129
-0.074534	0.030939
-0.079457	0.02672
-0.081566	0.035509
-0.083324	0.037267
-0.086488	0.033751
-0.088598	0.032697
-0.086137	0.03129
-0.082972	0.023556
-0.084379	0.031642
-0.088246	0.027423
-0.087543	0.042892
-0.087191	0.036564
-0.08684	0.029533
-0.089652	0.032697
-0.093871	0.036213
-0.09141	0.0334
-0.087191	0.034455
-0.092465	0.031994
-0.09141	0.037267
-0.094574	0.037619
-0.09352	0.033048
-0.098442	0.033751
-0.10161	0.039025
-0.092113	0.039025
-0.098442	0.036213
-0.094926	0.043244
-0.098442	0.035861
-0.10125	0.035861
-0.097739	0.045354
-0.10723	0.033751
-0.10125	0.030939
-0.10477	0.038674
-0.091762	0.039728
-0.099145	0.041135
-0.10723	0.045002
-0.10899	0.028478
-0.10055	0.041486
-0.10653	0.04676
-0.11039	0.049221
-0.10758	0.045354
-0.10934	0.031642
-0.099145	0.04008
-0.10969	0.047463
-0.10758	0.04008
-0.11075	0.048518
-0.10899	0.052034
-0.1118	0.039025
-0.1111	0.041135
-0.11215	0.040431
-0.11321	0.049221
-0.11356	0.041135
-0.11532	0.038674
-0.11919	0.049924
-0.11778	0.056252
-0.12094	0.054495
-0.12376	0.050627
-0.122	0.049572
-0.12165	0.052385
-0.122	0.054846
-0.12938	0.047463
-0.13149	0.047815
-0.1336	0.049572
-0.13711	0.059768
-0.12797	0.054143
-0.12551	0.052385
-0.13711	0.043244
-0.13606	0.048166
-0.12551	0.05344
-0.13887	0.052737
-0.13887	0.059065
-0.14274	0.059417
-0.13149	0.045705
-0.13993	0.062581
-0.14098	0.04676
-0.13958	0.058713
-0.14239	0.05344
-0.14872	0.054495
-0.13852	0.045354
-0.13958	0.052385
-0.14344	0.064339
-0.12833	0.055901
-0.14555	0.053088
-0.14872	0.050979
-0.13817	0.059768
-0.14731	0.065393
-0.14063	0.067151
-0.1554	0.060471
-0.15645	0.063284
-0.15223	0.061175
-0.14133	0.062581
-0.14415	0.059768
-0.15048	0.059065
-0.14626	0.066097
-0.14907	0.055549
-0.15118	0.061878
-0.15751	0.066097
-0.15153	0.056604
-0.15821	0.062932
-0.15223	0.065042
-0.15399	0.065745
-0.15926	0.061526
-0.15821	0.057307
-0.16032	0.068206
-0.15786	0.059417
-0.15856	0.06469
-0.15997	0.061526
-0.16559	0.063284
-0.16454	0.058713
-0.16067	0.068206
-0.15997	0.071722
-0.17263	0.074183
-0.16805	0.071722
-0.16384	0.07137
-0.1663	0.070667
-0.17087	0.064339
-0.17544	0.074534
-0.17684	0.065042
-0.16524	0.072073
-0.17755	0.07137
-0.17016	0.071019
-0.17087	0.07137
-0.17579	0.075238
-0.18071	0.0668
-0.18809	0.072073
-0.17895	0.059768
-0.17755	0.069612
-0.17755	0.079105
-0.18739	0.07348
-0.17333	0.073831
-0.18036	0.076996
-0.17825	0.082621
-0.18458	0.07137
-0.19091	0.071019
-0.18563	0.070667
-0.18352	0.07348
-0.18423	0.063636
-0.17649	0.069261
-0.18352	0.080511
-0.19899	0.077347
-0.18634	0.083324
-0.18177	0.077699
-0.18915	0.076996
-0.18774	0.066097
-0.19899	0.065042
-0.19267	0.072073
-0.19548	0.086137
-0.18423	0.078753
-0.18774	0.074534
-0.19653	0.075589
-0.18985	0.080863
-0.19161	0.088598
-0.20286	0.077347
-0.20145	0.080511
-0.19864	0.081566
-0.20181	0.078753
-0.19618	0.087543
-0.19899	0.081918
-0.20392	0.086488
-0.1997	0.08473
-0.2004	0.087894
-0.2106	0.087191
-0.21306	0.080511
-0.19759	0.079808
-0.20005	0.089652
-0.20989	0.08016
-0.20427	0.075941
-0.20743	0.088949
-0.21622	0.089652
-0.20286	0.088598
-0.21657	0.097739
-0.21095	0.095278
-0.21517	0.090707
-0.21833	0.097035
-0.21868	0.082269
-0.21481	0.087894
-0.22079	0.087543
-0.21481	0.085082
-0.21798	0.093168
-0.21481	0.089301
-0.21692	0.078402
-0.21165	0.083324
-0.21692	0.09352
-0.22782	0.091762
-0.21903	0.090355
-0.21939	0.089652
-0.22044	0.087543
-0.22501	0.089301
-0.22185	0.082972
-0.22325	0.095278
-0.22431	0.1002
-0.23099	0.084027
-0.22958	0.094926
-0.22817	0.08016
-0.22747	0.091762
-0.22149	0.098793
-0.23099	0.093871
-0.24048	0.10231
-0.24189	0.10231
-0.24048	0.097739
-0.2345	0.09141
-0.22958	0.093168
-0.23134	0.097739
-0.23028	0.10442
-0.24118	0.10969
-0.22853	0.10758
-0.24048	0.1009
-0.23626	0.09352
-0.23978	0.095278
-0.2447	0.10512
-0.24224	0.092817
-0.23907	0.1002
-0.24189	0.097387
-0.2556	0.098793
-0.25243	0.10372
-0.24224	0.11004
-0.24259	0.10407
-0.24821	0.10161
-0.24786	0.10618
-0.25138	0.1125
-0.25806	0.10653
-0.26368	0.096332
-0.2556	0.10407
-0.24892	0.10372
-0.25946	0.099497
-0.24751	0.095629
-0.26298	0.10618
-0.26228	0.10583
-0.26193	0.10196
-0.25454	0.1125
-0.25243	0.10407
-0.26931	0.10618
-0.26368	0.10793
-0.2563	0.10829
-0.26931	0.11461
-0.26825	0.098442
-0.26193	0.11461
-0.26333	0.11075
-0.26404	0.11954
-0.26087	0.11567
-0.27071	0.11215
-0.27001	0.10336
-0.27107	0.11532
-0.26896	0.12129
-0.26931	0.10934
-0.27775	0.11004
-0.26755	0.11708
-0.27493	0.12094
-0.28302	0.10407
-0.26825	0.11004
-0.26966	0.12165
-0.27423	0.11391
-0.27318	0.11497
-0.27529	0.12305
-0.27986	0.11637
-0.28583	0.12094
-0.27529	0.11848
-0.27458	0.11989
-0.28302	0.10899
-0.27915	0.11004
-0.28478	0.12165
-0.28126	0.11813
-0.29497	0.12657
-0.28302	0.13008
-0.28548	0.1227
-0.29075	0.12797
-0.28267	0.11743
-0.29111	0.12376
-0.28513	0.12622
-0.29181	0.12024
-0.28267	0.12762
-0.28267	0.12094
-0.29673	0.12165
-0.29603	0.11919
-0.29357	0.11321
-0.28302	0.12973
-0.29568	0.13149
-0.29322	0.13149
-0.30939	0.13114
-0.30095	0.12305
-0.2999	0.12305
-0.2904	0.12059
-0.28935	0.13501
-0.30236	0.12692
-0.29744	0.12411
-0.30412	0.13571
-0.29814	0.12622
-0.30482	0.12481
-0.29814	0.13641
-0.30798	0.12973
-0.3006	0.13641
-0.30728	0.12868
-0.29954	0.13465
-0.30693	0.13711
-0.30412	0.13465
-0.30904	0.13641
-0.30412	0.12762
-0.31009	0.13641
-0.31361	0.13079
-0.31255	0.12973
-0.3122	0.13536
-0.30868	0.13958
-0.3129	0.13079
-0.31044	0.1336
-0.31853	0.14837
-0.31572	0.13325
-0.31326	0.14309
-0.31677	0.1438
-0.3115	0.1438
-0.31923	0.13641
-0.31853	0.15399
-0.31923	0.14591
-0.31818	0.14415
-0.3224	0.1438
-0.32275	0.13817
-0.32556	0.14028
-0.33013	0.14731
-0.31677	0.14731
-0.33541	0.14591
-0.32908	0.14766
-0.33119	0.14204
-0.32275	0.14169
-0.32451	0.14098
-0.32451	0.14555
-0.33259	0.14204
-0.32662	0.14344
-0.33787	0.14133
-0.33119	0.14766
-0.33505	0.14274
-0.33646	0.14872
-0.33119	0.13958
-0.33927	0.14626
-0.32486	0.14942
-0.34595	0.1561
-0.33154	0.15821
-0.32837	0.15188
-0.34173	0.15715
-0.33681	0.1554
-0.33505	0.15399
-0.34208	0.15294
-0.34349	0.15715
-0.34314	0.15294
-0.34384	0.1568
-0.33892	0.16173
-0.34525	0.16067
-0.34244	0.16313
-0.33435	0.15469
-0.35087	0.16067
-0.34314	0.15715
-0.34349	0.15505
-0.34841	0.16454
-0.35474	0.15926
-0.34279	0.16208
-0.33998	0.15118
-0.34876	0.16032
-0.35193	0.167
-0.34736	0.167
-0.3572	0.16137
-0.35509	0.15223
-0.35896	0.15645
-0.34244	0.17052
-0.35474	0.16032
-0.35545	0.16243
-0.35123	0.16102
-0.35685	0.1663
-0.36459	0.16278
-0.37056	0.15891
-0.35545	0.16841
-0.36072	0.16841
-0.36072	0.1663
-0.35509	0.1663
-0.3558	0.15891
-0.36142	0.17333
-0.36459	0.16735
-0.36459	0.16489
-0.36705	0.1786
-0.36177	0.16173
-0.36916	0.16946
-0.36177	0.16841
-0.36037	0.17368
-0.37127	0.16384
-0.36599	0.17052
-0.36388	0.17333
-0.37549	0.17368
-0.36845	0.17544
-0.36951	0.17544
-0.36529	0.17403
-0.37127	0.17825
-0.37513	0.167
-0.38111	0.16981
-0.38216	0.17192
-0.379	0.17825
-0.37232	0.17684
-0.38041	0.1779
-0.38252	0.18528
-0.38287	0.17719
-0.38287	0.17825
-0.38252	0.18599
-0.38181	0.18141
-0.37619	0.17614
-0.38146	0.18493
-0.38111	0.18458
-0.39201	0.1793
-0.38287	0.17157
-0.38885	0.18528
-0.39517	0.18458
-0.38392	0.17755
-0.39306	0.17825
-0.39342	0.1793
-0.38357	0.18001
-0.38287	0.1786
-0.39096	0.18388
-0.38568	0.17614
-0.3899	0.18563
-0.3906	0.1786
-0.38779	0.18036
-0.38885	0.18563
-0.39096	0.18669
-0.39306	0.18423
-0.39974	0.18493
-0.39377	0.19196
-0.39728	0.19231
-0.39377	0.18599
-0.39939	0.18985
-0.4117	0.18493
-0.39271	0.19618
-0.39764	0.18774
-0.40889	0.1895
-0.39412	0.18809
-0.40115	0.18915
-0.40607	0.19056
-0.40467	0.18774
-0.4015	0.19302
-0.40431	0.18739
-0.4131	0.19407
-0.40924	0.18845
-0.41451	0.19161
-0.40783	0.19302
-0.41521	0.19688
-0.42752	0.19583
-0.40467	0.19091
-0.40642	0.19442
-0.41205	0.19688
-0.42013	0.19688
-0.41978	0.19126
-0.41627	0.19653
-0.41803	0.19372
-0.41838	0.19407
-0.41346	0.20181
-0.42049	0.20462
-0.41627	0.20075
-0.41521	0.20286
-0.41838	0.19407
-0.41451	0.21095
-0.42963	0.19477
-0.43701	0.19899
-0.42471	0.20532
-0.41767	0.20145
-0.41521	0.20392
-0.42506	0.20356
-0.42822	0.19794
-0.42119	0.1997
-0.42611	0.20778
-0.42717	0.20532
-0.43068	0.20462
-0.43385	0.20145
-0.42154	0.21446
-0.41978	0.2113
-0.43103	0.20778
-0.43455	0.20989
-0.43771	0.20954
-0.42541	0.20392
-0.44158	0.21024
-0.44123	0.20884
-0.43525	0.21095
-0.43174	0.21481
-0.42787	0.21376
-0.43807	0.20497
-0.44369	0.2113
-0.44299	0.21939
-0.42506	0.21692
-0.43947	0.21341
-0.43877	0.21235
-0.43877	0.21763
-0.44158	0.21481
-0.43736	0.20743
-0.4335	0.21798
-0.45248	0.21622
-0.4342	0.21306
-0.44193	0.22079
-0.44897	0.22958
-0.44439	0.22431
-0.45529	0.21657
-0.44088	0.21974
-0.456	0.21728
-0.45705	0.21165
-0.45565	0.22079
-0.45037	0.2229
-0.45846	0.21939
-0.4458	0.22817
-0.45565	0.21657
-0.44791	0.22079
-0.44404	0.22325
-0.45811	0.22185
-0.45143	0.23099
-0.4567	0.2222
-0.45213	0.22536
-0.46408	0.22466
-0.45705	0.22571
-0.45072	0.21587
-0.46408	0.23485
-0.46021	0.23169
-0.4567	0.21903
-0.46092	0.22958
-0.45881	0.23099
-0.46197	0.23028
-0.46901	0.22642
-0.4676	0.2331
-0.45986	0.22466
-0.46162	0.23275
