InputZoom	TRUE
InputCenter	1000000000.000000000
InputRange	2.000000000
InputRefImped	50.000000000
XStart	0.000000000
XDelta	0.000000160
XDomain	0
XUnit	Sec
YUnit	V
FreqValidMax	1020000000.000000000
FreqValidMin	980000000.000000000
TimeString	Wed Apr 9 10:31:26.524 2014
Y
-0.000977	-0.004885
-0.002605	0.004885
-0.004234	0.005536
0.001628	-0.000326
0.000977	-0.000651
-0.007165	0.005536
-0.001954	0.000326
-0.006513	0.00977
-0.006513	0.003582
-0.00228	0.005211
-0.005211	-0.006188
0.003908	0.001628
0.00228	0.00749
0.005536	0.001628
0	-0.000651
-0.000326	0.007816
0.004559	0.001628
0.002931	-0.003908
0.010421	0.002605
-0.004559	0.009444
0.003257	0.001954
0.001954	0.000651
0.003257	0.004885
-0.003257	-0.003257
-0.000977	0.003908
0.003908	0.008467
-0.001954	0.003257
-0.005211	0.001303
0.006188	0.000651
-0.008142	-0.002931
-0.004559	0.003582
0.005536	0.004885
0.000326	-0.000651
0.00228	-0.006188
-0.005862	-0.004885
0.000977	0
-0.008467	0.000977
0	0.004234
-0.001303	0.003582
0.012375	-0.006513
-0.000651	0.004559
0.004234	-0.004885
-0.009118	0.006513
-0.001954	-0.003257
0.003908	-0.004885
0.004885	0.002931
0.00749	-0.00228
-0.003257	0.008793
0.004559	0.001628
0.003257	-0.005862
-0.012049	-0.000977
-0.00749	-0.002931
-0.000326	-0.00228
-0.005536	0.000326
-0.001954	0.004234
0.010421	0.00749
-0.011072	0.000977
-0.002605	-0.003908
0.001954	0.00228
-0.00228	0.003257
0.004885	0.001628
0.004559	0.002605
0.003257	-0.002605
0.004559	0.003582
-0.001628	0.002931
-0.00977	-0.000326
0.003257	-0.003582
0.001954	-0.004885
-0.00228	0.00228
0	0.002605
0.003257	0.004885
0.000977	0.004885
0.003582	0.004234
0.007165	0.001954
0.003257	0.004885
0.004559	0.007165
0.004234	0.009444
0.006188	-0.00228
0.013678	-0.004559
0.006188	0.001303
0.004234	0.011398
0.00228	0.002931
0.006839	0.005862
0.013026	0.003582
0.01726	0.008793
0.008793	0.001628
0.017586	0.009118
0.014003	0.008793
0.023448	-0.001628
0.019214	0.004234
0.016934	-0.002605
0.023448	0.003582
0.011398	0.001628
0.015306	-0.00749
0.021819	0.003908
0.022145	0.007816
0.020842	0.012375
0.026379	-0.003582
0.026053	0.000651
0.028332	0.013678
0.028984	0.005211
0.019214	0.00749
0.031589	0.00228
0.028984	0.00977
0.025727	0.013352
0.035497	0.007816
0.03224	0.009118
0.033543	0.011724
0.028658	0.003257
0.027355	0.005211
0.031263	0.009118
0.031589	0.000651
0.033217	0.009444
0.039079	0.002931
0.0368	0.00749
0.036474	0.012375
0.03224	0.008467
0.041685	0.011398
0.043639	0.010095
0.039731	0.004559
0.042987	0.007816
0.048523	0.010747
0.051129	0.012375
0.038428	0.006839
0.048198	0.011398
0.046895	0.009118
0.052106	0.008793
0.045267	0.007816
0.040056	0.008793
0.058293	0.016283
0.050152	0.006188
0.050477	0.021494
0.047221	0.01726
0.051129	0.014003
0.056665	0.013352
0.053083	0.015957
0.052757	0.006513
0.064155	0.006839
0.060573	0.017586
0.059922	0.016934
0.062201	0.020191
0.058293	0.013678
0.057642	0.018888
0.058945	0.016283
0.06904	0.020517
0.052431	0.01498
0.061876	0.015632
0.068063	0.016609
0.065132	0.024099
0.063504	0.01498
0.065458	0.008467
0.072297	0.017586
0.067086	0.020191
0.065132	0.016934
0.070343	0.014003
0.076205	0.017911
0.067412	0.00977
0.073274	0.016283
0.071971	0.01498
0.07653	0.015632
0.070017	0.014655
0.080764	0.012049
0.08109	0.014003
0.073599	0.015306
0.073274	0.021819
0.076205	0.02475
0.084672	0.016934
0.079136	0.015306
0.088905	0.014329
0.076205	0.014655
0.0863	0.025402
0.083369	0.018563
0.084672	0.01954
0.087603	0.022471
0.092162	0.019865
0.093139	0.014003
0.081741	0.022471
0.089882	0.022796
0.094767	0.019865
0.10096	0.025727
0.090859	0.022145
0.099652	0.022145
0.10161	0.020842
0.091511	0.01954
0.088254	0.023122
0.096396	0.02703
0.10584	0.028007
0.093465	0.017586
0.091511	0.025402
0.09607	0.019865
0.098675	0.026053
0.099652	0.029309
0.099978	0.025402
0.10714	0.018563
0.10942	0.027681
0.11333	0.023448
0.11333	0.025727
0.09835	0.027355
0.10519	0.02703
0.11463	0.027355
0.10323	0.031263
0.11431	0.029635
0.10454	0.025076
0.11594	0.016609
0.11268	0.029309
0.10877	0.025402
0.11235	0.03452
0.11528	0.024425
0.12115	0.02475
0.11724	0.023122
0.12115	0.031915
0.11398	0.02475
0.11561	0.020191
0.11463	0.027681
0.11659	0.022796
0.12343	0.025727
0.12082	0.027355
0.13254	0.028984
0.12636	0.046569
0.13157	0.032566
0.12831	0.022145
0.1244	0.022796
0.13092	0.019214
0.12277	0.031915
0.13613	0.032892
0.12896	0.030612
0.13092	0.028007
0.14101	0.0368
0.13352	0.027681
0.14069	0.02703
0.13775	0.033217
0.13548	0.032892
0.13254	0.032892
0.14394	0.025402
0.13157	0.021494
0.13645	0.022796
0.14362	0.020517
0.1472	0.036474
0.14492	0.036148
0.14655	0.031915
0.13678	0.029309
0.13678	0.033543
0.15111	0.033543
0.15078	0.028984
0.15208	0.038754
0.15339	0.032892
0.14687	0.04201
0.15274	0.030612
0.1498	0.039079
0.15111	0.036148
0.15436	0.030286
0.15176	0.03452
0.16023	0.030286
0.16088	0.036148
0.15274	0.023773
0.15697	0.039731
0.15469	0.034194
0.16218	0.030286
0.15534	0.034194
0.16185	0.038754
0.16348	0.035171
0.16478	0.045267
0.16837	0.033869
0.17	0.031915
0.16967	0.037777
0.16218	0.044941
0.16413	0.036474
0.16413	0.034194
0.1827	0.037777
0.16739	0.038754
0.17455	0.044941
0.16674	0.043313
0.17879	0.038428
0.17195	0.037125
0.17749	0.036474
0.17911	0.038102
0.1713	0.04201
0.17879	0.043313
0.17911	0.041685
0.17586	0.038102
0.17716	0.039731
0.18042	0.038428
0.18204	0.037777
0.18107	0.036474
0.18139	0.034846
0.18465	0.027355
0.18726	0.045592
0.18042	0.041359
0.18628	0.038428
0.18237	0.033869
0.17814	0.047872
0.18823	0.046569
0.18302	0.0368
0.19507	0.043964
0.18954	0.040056
0.18791	0.040056
0.19247	0.048198
0.19149	0.049175
0.18726	0.041685
0.1993	0.042662
0.19116	0.035497
0.19442	0.037125
0.20842	0.044616
0.18791	0.038754
0.19703	0.051129
0.20061	0.050477
0.19865	0.045918
0.2094	0.04201
0.19865	0.045267
0.20549	0.037125
0.19637	0.04201
0.20907	0.035823
0.21331	0.039731
0.21526	0.045592
0.21363	0.039731
0.19898	0.049175
0.20517	0.047221
0.20907	0.040382
0.2081	0.039079
0.21722	0.043639
0.21689	0.0495
0.21624	0.042987
0.21982	0.045592
0.2208	0.04429
0.21331	0.042336
0.22829	0.048523
0.22633	0.043964
0.22536	0.040708
0.21591	0.050477
0.21103	0.047546
0.22145	0.041359
0.21787	0.043964
0.21917	0.041033
0.22373	0.041685
0.21982	0.0495
0.22666	0.045918
0.22308	0.047872
0.22731	0.040708
0.23448	0.042336
0.2348	0.049175
0.21689	0.048849
0.23155	0.055362
0.24425	0.045918
0.2335	0.048523
0.23285	0.048523
0.2348	0.043964
0.23285	0.042662
0.23806	0.042662
0.24066	0.050477
0.2348	0.054711
0.24197	0.047546
0.23969	0.050803
0.23838	0.040056
0.2462	0.048523
0.2449	0.048523
0.24392	0.050152
0.24718	0.048198
0.25141	0.050477
0.24522	0.048198
0.2462	0.045267
0.24815	0.058945
0.25727	0.048523
0.24555	0.048198
0.24848	0.0495
0.25401	0.047221
0.25304	0.060247
0.25532	0.048198
0.25239	0.044941
0.25597	0.053408
0.26183	0.058619
0.25988	0.047546
0.26053	0.053083
0.26476	0.049175
0.26737	0.054385
0.26151	0.042336
0.26216	0.05406
0.26248	0.053408
0.26085	0.051129
0.26476	0.049175
0.26672	0.052431
0.27127	0.052757
0.26151	0.057968
0.26834	0.056991
0.26965	0.056339
0.26541	0.057968
0.27095	0.048198
0.27518	0.048198
0.27681	0.055037
0.27323	0.056665
0.27844	0.058619
0.27909	0.054385
0.28137	0.057968
0.27486	0.057968
0.27942	0.058619
0.269	0.056665
0.27453	0.060573
0.27974	0.049826
0.28039	0.058619
0.29016	0.053408
0.28235	0.053083
0.27942	0.060573
0.28202	0.052106
0.28072	0.062853
0.29081	0.057642
0.29114	0.063178
0.28691	0.052106
0.28756	0.05178
0.28495	0.056991
0.29049	0.056339
0.28919	0.060247
0.297	0.056665
0.29635	0.046569
0.29896	0.050477
0.28788	0.058293
0.30547	0.056991
0.30124	0.064155
0.29179	0.055688
0.29668	0.055688
0.28821	0.057968
0.29277	0.062853
0.29798	0.065783
0.30677	0.062201
0.30905	0.058293
0.30384	0.063178
0.30807	0.052431
0.30286	0.053408
0.30775	0.064155
0.30873	0.062201
0.31003	0.049826
0.31263	0.064155
0.30677	0.049175
0.31296	0.06155
0.31166	0.058293
0.31101	0.061876
0.31687	0.06155
0.31882	0.059596
0.31426	0.062201
0.31589	0.061224
0.31426	0.061876
0.32729	0.060899
0.31687	0.059596
0.31329	0.068714
0.31817	0.068063
0.32273	0.060899
0.3325	0.058945
0.32566	0.061224
0.32761	0.052431
0.32631	0.064806
0.32631	0.066435
0.31622	0.057642
0.3338	0.063829
0.33966	0.065132
0.31817	0.067086
0.32827	0.057642
0.32338	0.057642
0.33576	0.075879
0.33282	0.058945
0.3351	0.068714
0.34259	0.063178
0.33543	0.064481
0.33576	0.067086
0.33641	0.064481
0.33706	0.06155
0.33348	0.052106
0.34325	0.067412
0.33543	0.071645
0.34487	0.062853
0.35106	0.062201
0.34097	0.075879
0.34715	0.058945
0.34683	0.067412
0.34162	0.06676
0.34585	0.065783
0.35008	0.071971
0.34357	0.063178
0.34487	0.052431
0.34553	0.064155
0.35334	0.068063
0.34585	0.065132
0.35171	0.068063
0.35334	0.06676
0.3579	0.070017
0.35985	0.069366
0.35692	0.062853
0.36181	0.072297
0.36018	0.075553
0.3579	0.058619
0.3579	0.067086
0.36246	0.075553
0.36116	0.077182
0.36213	0.064806
0.35985	0.066435
0.37451	0.06904
0.3693	0.072622
0.36604	0.066435
0.36669	0.066435
0.37614	0.069366
0.37614	0.060573
0.36734	0.077182
0.37581	0.066109
0.37321	0.068389
0.37581	0.070994
0.37125	0.072297
0.36767	0.068714
0.37516	0.070017
0.37809	0.066435
0.37386	0.067086
0.38233	0.068389
0.37972	0.077507
0.37418	0.066435
0.38265	0.069366
0.38656	0.074251
0.38558	0.071971
0.38591	0.068389
0.38786	0.068714
0.38851	0.078159
0.38982	0.068063
0.39275	0.071645
0.39242	0.064806
0.38851	0.073274
0.38916	0.063504
0.39079	0.060247
0.39144	0.072622
0.38363	0.069691
0.396	0.06904
0.39047	0.072948
0.38721	0.074251
0.39372	0.068714
0.39047	0.070668
0.39796	0.069366
0.40154	0.077182
0.40089	0.078159
0.40903	0.077182
0.39665	0.07132
0.39047	0.076205
0.40675	0.071645
0.40708	0.076205
0.40154	0.067737
0.41261	0.074251
0.40545	0.073925
0.40121	0.075879
0.41066	0.077182
0.41229	0.073274
0.4061	0.072297
0.40642	0.070017
0.41326	0.06676
0.41326	0.075553
0.40577	0.069691
0.41391	0.068063
0.41359	0.067086
0.4214	0.076205
0.41131	0.074902
0.40968	0.074576
0.42727	0.073925
0.41652	0.076205
0.41619	0.073925
0.41782	0.065132
0.42629	0.067737
0.42173	0.072948
0.42206	0.078484
0.4302	0.067412
0.42271	0.060573
0.42857	0.068063
0.42922	0.070668
0.43345	0.077833
0.42401	0.06904
0.4289	0.073274
0.43639	0.083695
0.4315	0.071971
0.43769	0.073599
0.43834	0.080438
0.4416	0.07881
0.43052	0.082066
0.43834	0.077833
0.43671	0.072948
0.43736	0.085974
0.42434	0.074251
0.43411	0.077182
0.4455	0.084672
0.44062	0.074251
0.43801	0.072297
0.44453	0.066109
0.44225	0.072622
0.4416	0.080438
0.44876	0.08109
0.45039	0.079461
0.45723	0.075879
0.45169	0.077507
0.45104	0.076856
0.46081	0.073599
0.45755	0.07881
0.4582	0.07881
0.45593	0.079461
0.44876	0.080438
0.45527	0.077182
0.46635	0.073925
0.46114	0.072948
0.45527	0.069366
0.47188	0.073274
0.46146	0.085974
0.46048	0.075553
0.46797	0.080764
0.45723	0.077182
0.44811	0.074902
0.46439	0.076856
0.46179	0.075553
0.46537	0.077507
0.46602	0.074251
0.46732	0.085649
0.46732	0.08402
0.46635	0.080113
0.47319	0.07653
0.47091	0.078484
0.47351	0.066435
0.47319	0.082392
0.47416	0.077182
0.46797	0.082718
0.4696	0.08109
0.47709	0.086626
0.48589	0.078159
0.4784	0.083369
0.4683	0.078484
0.47742	0.080764
0.48523	0.08858
0.47547	0.079136
0.48719	0.082718
0.48523	0.085323
0.48914	0.079461
0.4937	0.083043
0.48556	0.087277
0.47937	0.077507
0.48751	0.0863
0.481	0.085649
0.481	0.075879
0.4937	0.086951
0.48556	0.079787
0.50412	0.082392
0.49696	0.086626
0.48914	0.081741
0.4937	0.082392
0.4937	0.079136
0.49989	0.078159
0.49207	0.077833
0.49696	0.0863
0.49631	0.084346
0.49305	0.081415
0.50152	0.074251
0.50054	0.082718
0.49924	0.087603
0.50087	0.085323
0.50575	0.08109
0.49728	0.07881
0.50901	0.080438
0.49956	0.080438
0.49956	0.09607
0.50152	0.084997
0.51324	0.079787
0.50575	0.087277
0.50901	0.083043
0.50901	0.094116
0.51194	0.088905
0.51585	0.088254
0.5165	0.093465
0.51748	0.093139
0.51226	0.087603
0.52138	0.089882
0.51552	0.085323
0.52268	0.087603
0.51389	0.082066
0.51585	0.084346
0.52399	0.079461
0.51617	0.095093
0.52041	0.099652
0.52985	0.091836
0.5279	0.081415
0.52757	0.095093
0.5279	0.093139
0.52659	0.087277
0.52497	0.090208
0.53148	0.093139
0.53734	0.098675
0.53083	0.086626
0.53018	0.084997
0.5305	0.082718
0.53799	0.089557
0.52334	0.091185
0.53018	0.086626
0.5318	0.090208
0.54125	0.094442
0.54222	0.087277
0.54483	0.09379
0.53799	0.099327
0.54092	0.089882
0.54744	0.093139
0.53669	0.096721
0.54222	0.097698
0.54581	0.09607
0.54353	0.090208
0.54451	0.092813
0.54255	0.090859
0.54353	0.094116
0.55167	0.1003
0.55004	0.096396
0.54451	0.092813
0.5533	0.1003
0.55297	0.096721
0.5533	0.099652
0.55134	0.097698
0.55037	0.10063
0.566	0.098675
0.56209	0.095744
0.54353	0.092813
0.56437	0.089882
0.56046	0.099001
0.552	0.095093
0.56535	0.095419
0.56014	0.096721
0.5533	0.10226
0.56502	0.099001
0.56795	0.091511
0.56242	0.097698
0.55981	0.08858
0.56958	0.084672
0.566	0.10096
0.56242	0.1003
0.56339	0.10291
0.57056	0.097373
0.56991	0.090859
0.56763	0.094116
0.57512	0.092488
0.57674	0.093139
0.57674	0.099001
0.58098	0.097373
0.57284	0.094767
0.57837	0.08858
0.57121	0.10226
0.58098	0.099652
0.57479	0.099327
0.57674	0.10389
0.57837	0.10454
0.5787	0.097373
0.58619	0.10063
0.58033	0.10323
0.58749	0.099978
0.57805	0.098024
0.5813	0.098675
