InputZoom	TRUE
InputCenter	1000000000.000000000
InputRange	2.000000000
InputRefImped	50.000000000
XStart	0.000000000
XDelta	0.000000160
XDomain	0
XUnit	Sec
YUnit	V
FreqValidMax	1020000000.000000000
FreqValidMin	980000000.000000000
TimeString	Wed Apr 9 10:31:26.524 2014
Y
0.005862	-0.00749
-0.000326	-0.000651
0	-0.00228
-0.006839	0.000651
0.000977	-0.005862
-0.007165	0.001954
0	0.006513
0.002931	0.004885
-0.002605	0.003257
0.002931	-0.004559
0.003582	-0.001303
0.001628	0.004559
0.007816	-0.000977
0.003582	-0.007165
-0.000977	0.001628
0.003582	0.006839
-0.00749	0.003582
0	-0.003908
-0.001303	-0.000326
-0.003908	0.007816
-0.000326	-0.000977
0.000651	-0.006839
0.00749	-0.001303
-0.000977	0
0.003582	-0.010095
0.001628	-0.000326
0.005536	0.001954
-0.004234	0.009444
-0.005211	-0.001628
0.001628	0.002605
-0.003257	-0.001628
-0.003582	0.000651
-0.002605	0.004559
-0.010095	-0.000651
0.002931	0.003257
0.000977	-0.003582
-0.003582	-0.002605
0.000977	-0.00749
0.003908	-0.00228
-0.001303	-0.007165
0.001954	0.008467
-0.010095	-0.006188
-0.006188	0
-0.004885	0.002931
-0.004234	-0.004234
-0.003908	0.001303
-0.006188	0.002931
0.00228	0.001628
0.006513	-0.002931
0.004234	-0.001628
-0.002931	-0.006513
-0.003257	0.000326
-0.00228	0.000651
-0.000651	-0.000977
0.000326	0.001628
0.001628	-0.005862
0.003582	-0.001954
0.000977	0.001954
0.003582	0.00228
-0.00228	-0.001303
0.006513	0.001954
-0.001954	-0.006513
0.003582	0.001628
0.010095	0.005536
0.000977	-0.001303
0.005211	-0.004234
-0.002931	0.005536
0.001303	-0.001954
-0.003257	-0.013352
0.00749	0.001303
0.002931	0.000651
-0.006188	-0.004559
-0.005862	0.00228
-0.005211	-0.001628
0.004885	0.004559
0.000326	-0.005536
0.000651	-0.007816
-0.010747	-0.004559
0.004885	-0.002931
-0.000651	-0.004885
0.010421	-0.001628
0.011724	-0.008793
0.00749	0
0.009444	-0.005862
0.008793	-0.005862
0.002605	-0.008142
0.005536	-0.013352
0.00977	-0.013026
0.011072	-0.011724
-0.002931	-0.001303
-0.005862	-0.010095
0.005862	-0.010421
0.015306	-0.014329
0.008467	-0.010095
0.012375	-0.022796
0.012701	-0.017586
0.010421	-0.014003
0.007165	-0.020517
0.016283	-0.023122
0.014655	-0.014329
0.008467	-0.016934
0.008142	-0.028007
0.008142	-0.018237
0.018237	-0.020191
0.014329	-0.024425
0.013678	-0.023122
0.020517	-0.023773
0.013678	-0.026053
0.018563	-0.025076
0.01498	-0.027681
0.021494	-0.022471
0.013026	-0.029635
0.015957	-0.036474
0.018237	-0.031915
0.018888	-0.032892
0.022796	-0.040708
0.013678	-0.036474
0.026704	-0.036148
0.021494	-0.032566
0.02475	-0.035171
0.025727	-0.036148
0.026053	-0.041033
0.017586	-0.041033
0.016283	-0.042336
0.016609	-0.040708
0.024099	-0.037777
0.023773	-0.036148
0.021494	-0.041359
0.023448	-0.0368
0.028332	-0.042987
0.037125	-0.036148
0.023773	-0.043964
0.022796	-0.045267
0.019865	-0.044941
0.028332	-0.046244
0.022145	-0.041685
0.025076	-0.044616
0.029961	-0.051129
0.02475	-0.056339
0.034194	-0.048849
0.026053	-0.055362
0.028658	-0.062201
0.031263	-0.04429
0.023773	-0.050477
0.034846	-0.05406
0.034846	-0.051454
0.030612	-0.06155
0.034846	-0.056665
0.0368	-0.060899
0.028658	-0.052757
0.030938	-0.048849
0.035823	-0.050477
0.03452	-0.069691
0.033543	-0.055037
0.030938	-0.066109
0.031915	-0.066109
0.028984	-0.065458
0.035823	-0.063504
0.038102	-0.06155
0.043313	-0.065458
0.038754	-0.061876
0.041033	-0.066109
0.046244	-0.068389
0.037125	-0.069366
0.04201	-0.071971
0.036474	-0.074902
0.048523	-0.065132
0.043639	-0.067412
0.045918	-0.080113
0.040056	-0.079787
0.047546	-0.07653
0.051129	-0.071645
0.050152	-0.075228
0.045918	-0.077507
0.034846	-0.074251
0.038102	-0.08109
0.041033	-0.077507
0.047872	-0.078484
0.043313	-0.082066
0.046244	-0.075553
0.0495	-0.0863
0.058293	-0.087603
0.052757	-0.080438
0.057642	-0.084672
0.055037	-0.079136
0.040056	-0.08858
0.053408	-0.080438
0.051129	-0.093465
0.057968	-0.092488
0.045592	-0.086626
0.050803	-0.097698
0.050152	-0.088254
0.048198	-0.084346
0.056665	-0.082718
0.058619	-0.092162
0.05406	-0.089557
0.050803	-0.090859
0.050477	-0.092488
0.056665	-0.092813
0.052757	-0.096721
0.055688	-0.097373
0.062527	-0.092488
0.060573	-0.095419
0.062853	-0.097373
0.055688	-0.10096
0.058619	-0.10161
0.055037	-0.10161
0.062527	-0.099978
0.06155	-0.089882
0.05406	-0.10486
0.063829	-0.10193
0.059922	-0.10551
0.064481	-0.10291
0.064481	-0.10584
0.060573	-0.10454
0.064806	-0.10877
0.060899	-0.10845
0.069366	-0.099652
0.063504	-0.10617
0.061876	-0.10389
0.062527	-0.11105
0.066109	-0.10812
0.058619	-0.10942
0.064481	-0.11203
0.06676	-0.11268
0.063829	-0.10812
0.070994	-0.1091
0.070994	-0.1104
0.067737	-0.11626
0.071645	-0.11138
0.063829	-0.11594
0.069366	-0.113
0.064481	-0.11268
0.070994	-0.12408
0.069366	-0.12603
0.076205	-0.1244
0.072297	-0.11919
0.068389	-0.12896
0.065132	-0.1218
0.082392	-0.13059
0.081741	-0.12994
0.075553	-0.12896
0.077833	-0.12896
0.063178	-0.12473
0.081415	-0.13808
0.084346	-0.12375
0.064481	-0.13352
0.077182	-0.13254
0.074902	-0.13548
0.074576	-0.1345
0.08402	-0.13092
0.075228	-0.13059
0.075553	-0.13124
0.08109	-0.12994
0.071971	-0.13743
0.077507	-0.15111
0.076205	-0.14525
0.079787	-0.13971
0.070017	-0.14264
0.079461	-0.14297
0.083369	-0.13808
0.083695	-0.14069
0.07881	-0.14362
0.077833	-0.14264
0.086951	-0.1358
0.083695	-0.14557
0.087928	-0.14525
0.08402	-0.15501
0.081741	-0.1498
0.081741	-0.15013
0.091836	-0.15664
0.084346	-0.14427
0.090208	-0.14297
0.094442	-0.15339
0.085323	-0.15013
0.088254	-0.14752
0.089231	-0.15046
0.083043	-0.15697
0.086951	-0.15729
0.099327	-0.15534
0.090534	-0.16088
0.08858	-0.16153
0.093139	-0.1599
0.095419	-0.15664
0.099978	-0.15957
0.094767	-0.16283
0.095093	-0.15632
0.088905	-0.16511
0.098675	-0.17097
0.10063	-0.15567
0.093465	-0.16772
0.097373	-0.16772
0.10356	-0.16381
0.10128	-0.16967
0.094767	-0.17065
0.098024	-0.16869
0.10063	-0.16609
0.096396	-0.17423
0.10258	-0.16706
0.091185	-0.17749
0.095744	-0.17325
0.10128	-0.16934
0.10128	-0.17358
0.099652	-0.1713
0.099978	-0.17977
0.10258	-0.17293
0.10291	-0.17325
0.10454	-0.17195
0.10128	-0.18139
0.10128	-0.18172
0.10128	-0.19149
0.098024	-0.18498
0.10161	-0.18595
0.10845	-0.18302
0.11138	-0.18726
0.099652	-0.18954
0.10454	-0.18335
0.1091	-0.18888
0.10356	-0.18335
0.10486	-0.1827
0.10812	-0.19084
0.1117	-0.19768
0.10845	-0.19833
0.098675	-0.18498
0.11366	-0.18335
0.11333	-0.19279
0.10421	-0.19475
0.10812	-0.19475
0.10877	-0.19605
0.11366	-0.1993
0.10389	-0.20321
0.10291	-0.19279
0.1117	-0.19344
0.11659	-0.20028
0.11463	-0.198
0.11138	-0.20614
0.1104	-0.20419
0.11007	-0.19996
0.11789	-0.20582
0.12212	-0.20452
0.11463	-0.20321
0.11659	-0.20582
0.11235	-0.20647
0.11626	-0.21363
0.11887	-0.2068
0.11887	-0.21396
0.11235	-0.20484
0.11854	-0.20191
0.11854	-0.21461
0.12147	-0.21005
0.11724	-0.21038
0.11203	-0.2094
0.11919	-0.21266
0.12147	-0.21656
0.12538	-0.21298
0.12147	-0.21656
0.12049	-0.21722
0.11724	-0.20777
0.13254	-0.21689
0.12603	-0.21103
0.12603	-0.21884
0.12505	-0.21624
0.13222	-0.21787
0.12538	-0.22633
0.11952	-0.21656
0.12831	-0.22699
0.12701	-0.22438
0.12505	-0.22243
0.13059	-0.21656
0.12408	-0.23448
0.13092	-0.23187
0.12538	-0.22796
0.14362	-0.23382
0.12277	-0.22471
0.12505	-0.22601
0.1345	-0.22992
0.12831	-0.22764
0.12668	-0.23708
0.12896	-0.22959
0.12766	-0.23513
0.12961	-0.23057
0.13873	-0.23904
0.13548	-0.23871
0.1358	-0.24685
0.12929	-0.23285
0.13841	-0.24425
0.13515	-0.24652
0.14166	-0.23969
0.13417	-0.24425
0.14297	-0.24327
0.13613	-0.25499
0.1332	-0.24066
0.14101	-0.25174
0.12733	-0.25239
0.13808	-0.24587
0.12375	-0.25076
0.13808	-0.25043
0.1332	-0.24685
0.14036	-0.25727
0.1332	-0.25662
0.13906	-0.24718
0.13645	-0.25076
0.13971	-0.25076
0.14362	-0.2589
0.1345	-0.2602
0.13841	-0.25662
0.14915	-0.26476
0.14199	-0.26574
0.14069	-0.25727
0.14166	-0.26769
0.14003	-0.25695
0.14883	-0.26248
0.14525	-0.26476
0.14622	-0.2563
0.14525	-0.26411
0.1472	-0.2602
0.14069	-0.26607
0.14427	-0.26834
0.14166	-0.26574
0.1459	-0.26444
0.15143	-0.26281
0.14785	-0.26378
0.14948	-0.27388
0.15208	-0.26639
0.14883	-0.27681
0.15697	-0.27355
0.14427	-0.26281
0.1498	-0.26737
0.14199	-0.27551
0.14394	-0.27681
0.15078	-0.2716
0.1498	-0.27942
0.1586	-0.283
0.15046	-0.27844
0.15729	-0.27746
0.15404	-0.28202
0.15078	-0.28007
0.14622	-0.2856
0.16153	-0.27844
0.16055	-0.2817
0.14297	-0.29733
0.1586	-0.28463
0.1599	-0.28398
0.15176	-0.28235
0.1586	-0.28626
0.15599	-0.29212
0.15404	-0.29277
0.15827	-0.28658
0.15632	-0.2957
0.15501	-0.28202
0.16283	-0.283
0.15567	-0.29407
0.15697	-0.28723
0.15567	-0.29668
0.1612	-0.29798
0.16381	-0.29863
0.15697	-0.29635
0.16804	-0.2983
0.15404	-0.30026
0.16902	-0.30221
0.17586	-0.30612
0.16576	-0.30807
0.16413	-0.30514
0.16218	-0.30873
0.16641	-0.29733
0.16641	-0.30384
0.16967	-0.31394
0.17162	-0.30189
0.17195	-0.29993
0.16511	-0.31556
0.17488	-0.30156
0.16739	-0.30547
0.17065	-0.31003
0.1713	-0.30026
0.17325	-0.29993
0.16804	-0.30384
0.17521	-0.32436
0.16511	-0.30775
0.16511	-0.31263
0.17879	-0.31915
0.16804	-0.32078
0.17651	-0.3084
0.17065	-0.31947
0.17423	-0.32371
0.1713	-0.3185
0.16934	-0.32305
0.17228	-0.32208
0.16348	-0.32501
0.18074	-0.31947
0.18595	-0.31752
0.17749	-0.3224
0.18628	-0.3338
0.17683	-0.33185
0.16967	-0.32012
0.17293	-0.32208
0.18139	-0.32827
0.17032	-0.3312
0.17977	-0.32696
0.18009	-0.32696
0.17521	-0.33315
0.17879	-0.33185
0.17293	-0.33282
0.17618	-0.33055
0.17781	-0.33543
0.18042	-0.32989
0.18237	-0.3338
0.17781	-0.33413
0.17228	-0.33608
0.17814	-0.34422
0.17944	-0.33445
0.1954	-0.34227
0.17846	-0.3452
0.18432	-0.3452
0.19833	-0.34031
0.18432	-0.34292
0.1827	-0.34878
0.19149	-0.34878
0.18432	-0.3452
0.18432	-0.34455
0.18563	-0.34455
0.17488	-0.35139
0.18758	-0.35008
0.18823	-0.34943
0.18498	-0.3465
0.1954	-0.34976
0.18432	-0.35106
0.19312	-0.3592
0.18954	-0.35074
0.18563	-0.3553
0.1993	-0.35269
0.19409	-0.35562
0.19312	-0.35888
0.19475	-0.35334
0.19507	-0.35855
0.1967	-0.35562
0.19116	-0.36311
0.18465	-0.36767
0.19181	-0.3592
0.19116	-0.35595
0.19116	-0.35562
0.18888	-0.3579
0.19214	-0.36637
0.19833	-0.37483
0.20061	-0.35855
0.20093	-0.36539
0.19181	-0.37321
0.19344	-0.36376
0.18888	-0.36474
0.20093	-0.36507
0.19475	-0.37744
0.20321	-0.36995
0.19214	-0.37321
0.19898	-0.3693
0.19996	-0.37256
0.1954	-0.3807
0.2081	-0.37028
0.21005	-0.37711
0.20061	-0.37093
0.1954	-0.38102
0.20972	-0.38037
0.19214	-0.38135
0.20614	-0.37939
0.1993	-0.37842
0.20386	-0.38005
0.21038	-0.38623
0.20972	-0.37353
0.20549	-0.382
0.20419	-0.38298
0.19768	-0.382
0.21819	-0.38265
0.20777	-0.39177
0.20484	-0.38102
0.20549	-0.3846
0.21298	-0.39014
0.2081	-0.38591
0.20484	-0.38656
0.20647	-0.3947
0.21559	-0.3947
0.20842	-0.39275
0.20712	-0.39242
0.21559	-0.3934
0.21819	-0.39991
0.20972	-0.39926
0.20321	-0.39307
0.22373	-0.3921
0.21363	-0.39633
0.21787	-0.39763
0.22145	-0.40512
0.21559	-0.39991
0.2208	-0.40056
0.21982	-0.40903
0.21526	-0.40089
0.22373	-0.40903
0.21103	-0.40284
0.21787	-0.39926
0.21526	-0.41131
0.23155	-0.40317
0.21917	-0.40773
0.22112	-0.40577
0.21526	-0.4061
0.21233	-0.40642
0.21526	-0.41033
0.21656	-0.40903
0.21982	-0.40708
0.22308	-0.41457
0.22047	-0.40708
0.2208	-0.41457
0.2208	-0.41717
0.23415	-0.41489
0.22275	-0.41978
0.23155	-0.41554
0.22894	-0.42075
0.22308	-0.4175
0.22731	-0.42303
0.22471	-0.43411
0.21266	-0.42043
0.22243	-0.42206
0.22959	-0.42108
0.22894	-0.41717
0.23643	-0.42303
0.21852	-0.42857
0.22503	-0.4175
0.23936	-0.42792
0.2234	-0.4289
0.21982	-0.43313
0.22959	-0.43215
0.22829	-0.4289
0.22959	-0.43867
0.22927	-0.42564
0.2221	-0.43215
0.2361	-0.43085
0.23122	-0.43508
0.22927	-0.44681
0.22959	-0.44257
0.22927	-0.43801
0.22666	-0.43378
0.22666	-0.44648
0.23578	-0.43867
0.22861	-0.44094
0.23545	-0.43997
0.22471	-0.45137
0.23448	-0.43834
0.2361	-0.4442
0.22633	-0.44811
0.24652	-0.44322
0.23155	-0.45299
0.23806	-0.44811
0.23838	-0.4442
0.24197	-0.44453
0.24294	-0.45332
0.23024	-0.45202
0.24262	-0.45495
0.24066	-0.45169
0.24425	-0.45625
0.23904	-0.45853
0.2348	-0.46602
0.23089	-0.45918
0.23936	-0.45853
0.24001	-0.46439
0.24555	-0.46048
0.23675	-0.4569
0.24294	-0.4657
0.23675	-0.45755
0.23838	-0.45788
0.24066	-0.45983
0.24164	-0.46114
0.24587	-0.46765
0.23838	-0.46407
0.2462	-0.46472
0.24555	-0.47123
0.24262	-0.4683
0.24522	-0.46797
0.23969	-0.46993
0.24718	-0.46276
0.25174	-0.46439
0.24099	-0.46993
0.23904	-0.47351
0.24262	-0.47481
0.25206	-0.47579
0.24197	-0.47384
0.2462	-0.47091
0.23904	-0.47742
0.2576	-0.47807
0.2475	-0.47514
